file,rows_after_first_line,encoding_read,first_line_fields
cge/equilibria_final/fiveyear_2050/A/accounting.csv,144,utf-8-sig,grid | scenario | year | region | household | government | investment | capital | labor | carbon_revenue | walras | foreign_saving | max_absolute_gap
cge/equilibria_final/fiveyear_2050/A/calibration.csv,576,utf-8-sig,grid | year | region | technology | GDP | GDP_target | capacity_proxy_GW | target_GW | preference | macro_tfp
cge/equilibria_final/fiveyear_2050/A/capital_transitions.csv,126,utf-8-sig,grid | scenario | year | next_year | region | interval_years | opening_stock | annual_real_investment | survival | investment_annuity | next_stock | identity_residual
cge/equilibria_final/fiveyear_2050/A/completion.csv,1,utf-8-sig,grid | scenario | last_year | complete | MCP_residual | global_CO2 | global_RE_capacity_proxy_GW
cge/equilibria_final/fiveyear_2050/A/cost_mapping.csv,288,utf-8-sig,year | region | technology | tfp_multiplier | baseline_tfp | counterfactual_tfp
cge/equilibria_final/fiveyear_2050/A/last_calibration_iterate.csv,29056,utf-8-sig,variable | value
cge/equilibria_final/fiveyear_2050/A/macro.csv,144,utf-8-sig,grid | scenario | year | region | real_GDP | real_consumption | real_investment | nominal_investment | real_exports | real_imports | total_CO2 | power_CO2 | fossil_energy_Mtoe | carbon_price_2017USD_t | carbon_increment_2024USD_t | carbon_revenue | log_utility | log_unit_expenditure | generation_TWh | renewable_generation_TWh | renewable_capacity_proxy_GW | electricity_price_index | carbon_match_status | macro_productivity
cge/equilibria_final/fiveyear_2050/A/power.csv,1152,utf-8-sig,grid | scenario | year | region | technology | generation_TWh | capacity_proxy_GW | capacity_status | reference_CF | generation_price_2024USD_MWh | capital_efficiency | labor_efficiency | capital_service_expenditure | preference
cge/equilibria_final/fiveyear_2050/A/solve_diagnostics.csv,41,utf-8-sig,grid | scenario | year | stage | status | residual | seconds | requested_tolerance
cge/equilibria_final/fiveyear_2050/B/accounting.csv,144,utf-8-sig,grid | scenario | year | region | household | government | investment | capital | labor | carbon_revenue | walras | foreign_saving | max_absolute_gap
cge/equilibria_final/fiveyear_2050/B/capital_transitions.csv,126,utf-8-sig,grid | scenario | year | next_year | region | interval_years | opening_stock | annual_real_investment | survival | investment_annuity | next_stock | identity_residual
cge/equilibria_final/fiveyear_2050/B/completion.csv,1,utf-8-sig,grid | scenario | last_year | complete | MCP_residual | global_CO2 | global_RE_capacity_proxy_GW
